Mods count: 177
 
                                     jar name                                      | notes |               mod id                |                     mod name                      |       mod version       |                                                                                                                                             mixin configs                                                                                                                                              |              modrinth hash               | curseforge hash
capacitoradditions-3.0.0.jar                                                       |       | capacitoradditions                  | Enderio Capacitor Additions                       | 3.0.0                   |                                                                                                                                                                                                                                                                                                        | c244ece88913e6d07a194168f07b2bfc82f70c3c | 1625535301     
citadelneoforge-26.1-1.0.2.jar                                                     |       | citadel                             | Citadel                                           | 26.1-1.0.2              | citadel.mixins.json                                                                                                                                                                                                                                                                                    | 12336295623205d8882518cdbe6891527a20f3db | 533290863      
cleanswing-1.9-26.1.jar                                                            |       | cleanswing                          | Clean Swing                                       | 1.9.1                   |                                                                                                                                                                                                                                                                                                        | 8737d0f0f3fa73642ffa5697ee1fc6561712df8b | 1426879795     
cloth-config-26.1.154.jar                                                          |       | cloth_config                        | Cloth Config v26.1 API                            | 26.1.154                |                                                                                                                                                                                                                                                                                                        | 1700599980477b0ea72608bfdadee7bdde8b9b75 | 2657190333     
collective-26.1.2-8.22.jar                                                         |       | collective                          | Collective                                        | 8.22                    | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_neoforge.mixins.json, collective_forge.mixins.json                                                                                                                                                                       | 9b8cac26bdaff0229f483f6ee59008b169e69241 | 1245860756     
commoncapabilities-26.1.2-neoforge-2.11.7.jar                                      |       | commoncapabilities                  | CommonCapabilities                                | 2.11.7                  |                                                                                                                                                                                                                                                                                                        | 896ea7f94cfb2d3d7e259b77f2c764e1d330793c | 48417791       
ConstructionSticks-26.1.2-3.1.3.jar                                                |       | constructionstick                   | Construction Sticks                               | 3.1.3                   |                                                                                                                                                                                                                                                                                                        | 333eae9d9e530e08d057af53224d921a77b46e6c | 3271295367     
crafting_on_a_stick-neoforge-26.1-1.0.jar                                          |       | crafting_on_a_stick                 | Crafting on a Stick                               | 26.1-1.0                | crafting_on_a_stick.mixins.json, crafting_on_a_stick.neoforge.mixins.json                                                                                                                                                                                                                              | 144c61f5a80a6013bbb8b472f151c0a10203742d | 1856919529     
craftingtweaks-neoforge-26.1.2-26.1.2.1.jar                                        |       | craftingtweaks                      | Crafting Tweaks                                   | 26.1.2.1                | craftingtweaks.neoforge.mixins.json, craftingtweaks.mixins.json                                                                                                                                                                                                                                        | 3c7f2851cd4ee2fc7582f3e81c58e4b87dd66cde | 1000022059     
CrashAssistant-neoforge-26.1-1.11.9.jar                                            |       | crash_assistant                     | Crash Assistant                                   | 1.11.9                  | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                      | 059aa175bdbc12cae59bd7a8dc652181c52bcbfb | 3143753249     
    /META-INF/jarjar/app.jar                                                       |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/crash_assistant-neoforge.jar                                  |       | crash_assistant                     | Crash Assistant                                   | 1.11.9                  | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                      |                                          |                
cristellib-neoforge-26.1-3.1.3.jar                                                 |       | cristellib                          | Cristel Lib                                       | 3.1.3                   | cristellib.neoforge.mixins.json, cristellib.mixins.json                                                                                                                                                                                                                                                | c7edde48ecb8c4db76c2edc5b8483d9f0bb5efad | 1140391090     
    /META-INF/jarjar/jankson-1.2.3.jar                                             |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
crystaldepths-1.1.0-neoforge-26.1.x.jar                                            |       | crystaldepths                       | Crystal Depths - New Geode Types                  | 1.1.0                   |                                                                                                                                                                                                                                                                                                        | 9cdf3e63dc48a4c0e04e247d45613373087b7e8b | 1238081486     
crystalix-4.0.1+26.1.2.jar                                                         |       | crystalix                           | Crystalix                                         | 4.0.1                   | crystalix.mixins.json                                                                                                                                                                                                                                                                                  | 3105f18360be7ceca27938438a72232f9e6ac323 | 3985927982     
    /META-INF/jarjar/sathlib-1.0.2+26.1.2.jar                                      |       | sathlib                             | SathLib                                           | 1.0.2                   | sathlib.mixins.json                                                                                                                                                                                                                                                                                    |                                          |                
curios-neoforge-15.0.0-beta.2+26.1.2.jar                                           |       | curios                              | Curios API                                        | 15.0.0-beta.2+26.1.2    | curios.mixins.json                                                                                                                                                                                                                                                                                     | 231161937c73eadc0313bff7abaa3486e0a89853 | 3526547796     
cyclopscore-26.1.2-neoforge-1.29.8-1028.jar                                        |       | cyclopscore                         | Cyclops Core                                      | 1.29.8-1028             | mixins.cyclopscore.json                                                                                                                                                                                                                                                                                | b032fe97b8738154ca5db4e7d9d837ed773af216 | 421045222      
deimos-26.1.2-neoforge-2.6.jar                                                     |       | deimos                              | Deimos                                            | 2.6                     | deimos.mixins.json, deimos.neoforge.mixins.json                                                                                                                                                                                                                                                        | cb52efc6168959719b47d8996e6d58e14a1bdfeb | 3121286558     
disenchanting_table-neoforge-26.1.2-6.0.1.jar                                      |       | disenchanting_table                 | Dis-Enchanting Table                              | 6.0.1                   | disenchanting_table.neoforge.mixins.json, disenchanting_table.mixins.json                                                                                                                                                                                                                              | 5c222a509180f15a6b83194e1d4537b9b4485e7b | 3553012334     
ecliptic-seasons-serene-api-bridge-26.1-neoforge-21.11.0.4-patch3.jar              |       | sereneseasons                       | Serene Seasons API Stub (Ecliptic Seasons Bridge) | 21.11.0.4-patch3        | sereneseasons.mixins.json                                                                                                                                                                                                                                                                              | 38c00ff9056baf8c61772abff0ed301ae2ae646e | 474354551      
EclipticSeasons-26.1.2-neoforge-0.13.3.1.jar                                       |       | eclipticseasons                     | Ecliptic Seasons                                  | 0.13.3.1                | eclipticseasons.mixins.json                                                                                                                                                                                                                                                                            | 3a28273e0b119c88334e66611b4975d894424d3d | 189958555      
elevatorid-neoforge-26.1-1.16.2.jar                                                |       | elevatorid                          | ElevatorMod                                       | 26.1-1.16.2             | elevatorid.mixins.json                                                                                                                                                                                                                                                                                 | 3a31c5b8656d1bdd5ead18700f4a0ca76a3e1cb1 | 2614080107     
enchantingcommands-26.1.2-3.5.jar                                                  |       | enchantingcommands                  | Enchanting Commands                               | 3.5                     | enchantingcommands_fabric.mixins.json, enchantingcommands_forge.mixins.json, enchantingcommands_neoforge.mixins.json                                                                                                                                                                                   | 26991f645e4241af0f33acf5d0f0028a6bad5909 | 2356173369     
EnchantingInfuser-v26.1.0-mc26.1.x-NeoForge.jar                                    |       | enchantinginfuser                   | Enchanting Infuser                                | 26.1.0                  | enchantinginfuser.common.mixins.json, enchantinginfuser.neoforge.mixins.json                                                                                                                                                                                                                           | 96e4181163b82b27672a31ce55de5b7639ea1d5e | 38475234       
EnchantmentDescriptions-neoforge-MC26.1.2-26.1.2.1.jar                             |       | enchdesc                            | EnchantmentDescriptions                           | 26.1.2.1                | enchdesc.neoforge.mixins.json, enchdesc.common.mixins.json                                                                                                                                                                                                                                             | aefd5ae1beb649baf57bbc669402cf6425ef9cb5 | 4253787972     
enderio-9.0.3-alpha.jar                                                            |       | enderio                             | Ender IO                                          | 9.0.3-alpha             | enderio.mixins.json                                                                                                                                                                                                                                                                                    | 4743be0ed03f724901abdc5e7e1f4d10c567b286 | 3412630432     
    /META-INF/jarjar/GraphLib3-3.0.5.jar                                           |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/com.enderio.endercore-9.0.3-alpha.jar                         |       | endercore                           | Ender Core                                        | 9.0.3-alpha             |                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/com.enderio.enderio-modded-conduits-9.0.3-alpha.jar           |       | enderio_modded_conduits             | Ender IO - Modded Conduits                        | 9.0.3-alpha             |                                                                                                                                                                                                                                                                                                        |                                          |                
enderio_endergy-9.0.1-alpha.jar                                                    |       | enderio_endergy                     | Ender IO - Endergy                                | 9.0.1-alpha             |                                                                                                                                                                                                                                                                                                        | ab860f79d9e2c18e6e137a6f0873fa0155b28e01 | 3877213477     
energeticsheep-26.1.2-neoforge-1.2.0.jar                                           |       | energeticsheep                      | EnergeticSheep                                    | 1.2.0                   |                                                                                                                                                                                                                                                                                                        | 16bb09584cfe931a253c2396c0c8715eebc03d3e | 2730643118     
energizedpower-26.1.x-2.16.0-neoforge.jar                                          |       | energizedpower                      | Energized Power                                   | 26.1.x-2.16.0-neoforge  | energizedpower.mixins.json                                                                                                                                                                                                                                                                             | 41690d0739deb47676cf1d633e197122b55a3ded | 1644237020     
energizedpowerbop-26.1.x-1.0.1-neoforge.jar                                        |       | energizedpowerbop                   | Energized Power - Biomes O' Plenty                | 26.1.x-1.0.1-neoforge   |                                                                                                                                                                                                                                                                                                        | b5988b70639c11645a1bec0046acaa4370f099ca | 114508039      
epherolib-neoforge-26.1-1.3.0.jar                                                  |       | epherolib                           | EpheroLib                                         | 1.3.0                   | epherolib.mixins.json, epherolib.neoforge.mixins.json                                                                                                                                                                                                                                                  | ad08ab39e5ecb5da862bdeedb75ffd5049119d91 | 1885171300     
expcounter-26.1.2-neoforge-2.5.jar                                                 |       | expcounter                          | EXP Counter                                       | 2.5                     | expcounter.mixins.json, expcounter.neoforge.mixins.json                                                                                                                                                                                                                                                | 163e55267f8bb2c8dae17a8c03a3662fc4eeebe4 | 3596401859     
ExplorersCompass-26.1-3.3.0-neoforge.jar                                           |       | explorerscompass                    | Explorer's Compass                                | 26.1-3.3.0-neoforge     |                                                                                                                                                                                                                                                                                                        | 627a497a478e99193185438eab0f92c8b3bc488c | 1611475416     
ExtraDisks-26.1.0.jar                                                              |       | extradisks                          | Extra Disks                                       | 26.1.0                  |                                                                                                                                                                                                                                                                                                        | 1ae31c90490ccfbcd378e1f42bf588b74d1ed725 | 1993201084     
ferritecore-9.0.0-neoforge.jar                                                     |       | ferritecore                         | Ferrite Core                                      | 9.0.0                   | ferritecore.threaddetec.mixin.json, ferritecore.datacomponents.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.accessors.mixin.json, ferritecore.fastmap.mixin.json                                                                                                                    | b8bfb14ba6ce7068aae08c3a132ca40bda6bd143 | 2517402383     
fish_of_thieves-mc26.1.2-v26.1.2.0-neoforge.jar                                    |       | fishofthieves                       | Fish of Thieves                                   | 26.1.2.0                | mixins.fish_of_thieves.json, mixins.fish_of_thieves_neoforge.json                                                                                                                                                                                                                                      | 74845e3935a5e01edf1719424e094d0cd3eecb57 | 1967018630     
    /META-INF/jars/mixinconstraints-1.1.0.jar                                      |       |                                     |                                                   |                         |                                                                                                                                                                                                                                                                                                        |                                          |                
flightblocks-26.1.2-4.1.3.jar                                                      |       | flightblocks                        | BBL Flight Blocks                                 | 4.1.3                   |                                                                                                                                                                                                                                                                                                        | b1a54227e5b7586471aed2f6a65c5178fafa33b9 | 2268837200     
flopper-26.1.2-neoforge-1.1.9.jar                                                  |       | flopper                             | Flopper                                           | 1.1.9                   |                                                                                                                                                                                                                                                                                                        | 548abd5d3192d87f082101a113660545c4f5b68a | 53795353       
forbidden_arcanus-26.1.2-2.7.0-beta.5.jar                                          |       | forbidden_arcanus                   | Forbidden Arcanus                                 | 2.7.0-beta.5            | forbidden_arcanus.mixins.json                                                                                                                                                                                                                                                                          | d7070a2037f23a766ba45804b0edcc048ead700f | 541617106      
FramedBlocks-11.2.0.jar                                                            |       | framedblocks                        | FramedBlocks                                      | 11.2.0                  | framedblocks.mixin.json                                                                                                                                                                                                                                                                                | 6534599a775369ed32df7c54563d3d7d6f7b7243 | 2386449379     
framework-neoforge-26.1.2-0.13.23.jar                                              |       | framework                           | Framework                                         | 0.13.23                 | framework.common.mixins.json                                                                                                                                                                                                                                                                           | cfd15b80a72a499f964f12b6ee6f03bef4bf0aab | 1025529655     
ftb-backups-3-26.1.2.1.jar                                                         |       | ftbbackups3                         | FTB Backups 3                                     | 26.1.2.1                |                                                                                                                                                                                                                                                                                                        | 9d28c0512ae37f0f32909d25b63e79cba22bfd73 | 2372039652     
ftb-chunks-neoforge-26.1.2.3.jar                                                   |       | ftbchunks                           | FTB Chunks                                        | 26.1.2.3                | ftbchunks-common.mixins.json                                                                                                                                                                                                                                                                           | 847b21cb813fc512ed488b0fc66bc8123c3a351b | 881586510      
ftb-essentials-neoforge-26.1.2.3.jar                                               |       | ftbessentials                       | FTB Essentials                                    | 26.1.2.3                | ftbessentials-common.mixins.json                                                                                                                                                                                                                                                                       | 5381c49be78488623c5ab995984365ee1283ece5 | 3237645575     
ftb-ez-crystals-26.1.2.1.jar                                                       |       | ftbezcrystals                       | FTB EZ Crystals                                   | 26.1.2.1                |                                                                                                                                                                                                                                                                                                        | 5f7add437be004ed91b014f5fcce8398cb573138 | 999301888      
ftb-filter-system-neoforge-26.1.2.1.jar                                            |       | ftbfiltersystem                     | FTB Filter System                                 | 26.1.2.1                |                                                                                                                                                                                                                                                                                                        | 1f647b404cad6349fdb139b3142d182a8b1cb26f | 1549233762     
ftb-industrial-contraptions-26.1.2.8.jar                                           |       | ftbic                               | FTB Industrial Contraptions                       | 26.1.2.8                |                                                                                                                                                                                                                                                                                                        | d9db3cc029f4918cd8d36a5db28c8ed732a56d36 | 393634437      
